Time,Channel A
(us),(V)

-1.89475099,5.72283100
-1.88475099,5.72283100
-1.87475099,5.72283100
-1.86475099,5.72283100
-1.85475099,5.72283100
-1.84475099,5.72283100
-1.83475099,5.72283100
-1.82475099,5.72283100
-1.81475099,5.72283100
-1.80475099,5.63341100
-1.79475099,5.72283100
-1.78475099,5.72283100
-1.77475100,5.63341100
-1.76475100,5.72283100
-1.75475100,0.71535380
-1.74475100,-1.16245000
-1.73475100,-1.07303100
-1.72475100,-0.35767700
-1.71475100,-0.80477310
-1.70475100,-0.71535380
-1.69475100,-0.71535380
-1.68475100,-0.71535380
-1.67475100,-0.62593470
-1.66475100,-0.71535380
-1.65475100,-0.71535380
-1.64475100,-0.62593470
-1.63475100,-0.71535380
-1.62475100,-0.62593470
-1.61475100,-0.71535380
-1.60475100,-0.62593470
-1.59475100,-0.62593470
-1.58475100,-0.62593470
-1.57475100,-0.71535380
-1.56475100,-0.71535380
-1.55475100,-0.62593470
-1.54475100,-0.62593470
-1.53475100,-0.62593470
-1.52475100,-0.62593470
-1.51475100,-0.62593470
-1.50475100,-0.62593470
-1.49475100,-0.62593470
-1.48475100,-0.62593470
-1.47475100,-0.71535380
-1.46475100,-0.62593470
-1.45475100,-0.62593470
-1.44475100,-0.62593470
-1.43475100,-0.71535380
-1.42475100,-0.62593470
-1.41475100,4.38154200
-1.40475100,6.34907100
-1.39475100,6.08050800
-1.38475100,5.36515400
-1.37475100,5.81225000
-1.36475100,5.72283100
-1.35475100,5.72283100
-1.34475100,5.72283100
-1.33475100,5.72283100
-1.32475100,5.72283100
-1.31475100,5.72283100
-1.30475100,5.72283100
-1.29475100,5.72283100
-1.28475100,5.72283100
-1.27475100,5.72283100
-1.26475100,5.72283100
-1.25475100,5.63341100
-1.24475100,5.72283100
-1.23475100,5.72283100
-1.22475100,5.63341100
-1.21475100,5.72283100
-1.20475100,5.72283100
-1.19475100,5.72283100
-1.18475100,5.72283100
-1.17475100,5.72283100
-1.16475100,5.72283100
-1.15475100,5.72283100
-1.14475100,5.72283100
-1.13475100,5.72283100
-1.12475100,5.72283100
-1.11475100,5.72283100
-1.10475100,5.72283100
-1.09475100,5.63341100
-1.08475100,5.63341100
-1.07475100,5.63341100
-1.06475100,5.72283100
-1.05475100,5.63341100
-1.04475100,-1.16245000
-1.03475100,-0.17883850
-1.02475100,-1.34128800
-1.01475100,-0.35767700
-1.00475100,-0.71535380
-0.99475100,-0.71535380
-0.98475100,-0.71535380
